"","x"
"1033","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1034"," economists History s 1st book of its kind site  Cannot 1 party  China demonetise like  Modi  "
"1035","   So called SECULAR INDIA  Real face of india and modi   Modi  terrorists "
"1036"," Exit on Mint Street   UrjitPatel   the head of the Reserve Bank of India  resigns   via  "
"1037"," Truth never silent  Why he quit  Now Indian people don t faith in PM  Why all are seriously unhappy i  "
"1038","I dedicate  AdchiThookku to  modi for  making RBI governor to resign  UrjitPatelresigns"
"1039","How great  Secularism is under  Modi regime                           "
"1040","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1041"," elections Knowledge empowers site  AmitShah wins UP elections  amp   Modi not him gets  credit  "
"1042","      Modi will take us till Rs 150 200 for one usa dollar  while playing games with RBI  economy "
"1043","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1044","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1045","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1046","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1047","    Indian troops martyred 95 238 Kashmiris in Indian occupied Kashmir since January 1989   Modi  Shame  KashmirBleeds  lo "
"1048","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1049","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1050","    Jumla Man  Modi will destroy our country and prestigious institutions"
"1051","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1052","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1053","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1054","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1055","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1056","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1057","    MMS had said  Modi will prove a Disaster for the nation  The nation is silently watching Modi prove MMS right  We see "
"1058","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1059","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1060","    this is u calles isolation that America and the whole world begging  "
"1061","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1062","For  Modi in election year 2019   UP CM  Yogi is now a lose lose lose proposition  Bad optics  worse governance  an  "
"1063","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1064","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1065","   Attacking the  Modi govt for destroying several institutions of the democracy  ignoring farmers and youth unrest and reducing "
"1066","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1067","   Big win for   s international diplomacy British Court gives approval of  VijayMallya  s extradition After  C "
"1068","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1069","  paka mat boss itni raat ko   don t use the word steal for  modi ji  "
"1070","    Modi is incorruptible is proved There s no reason 2 disbelieve in it There s no reason 2 believe opposition s allegation "
"1071","         "
"1072","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1073","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1074","     It s proud moment for Bhaktas                              Since 40 years no one unable to do  But  it s done by  "
"1075","     What is the loot  Has  Modi shown the resolve 2book the  culprits   Anybody can talk in the air "
"1076","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1077","    VijayMallya  s extradition is a very significant development in India s fight against corruption  Credit for this goes en "
"1078","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1079","Fact  Till todate media not able to guess  Modi Govt next move   Myth               "
"1080","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1081","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1082"," Indian troops martyred 95 238 Kashmiris in Indian occupied Kashmir since January 1989   Modi  Shame  KashmirBleeds  "
"1083"," MMS had said  Modi will prove a Disaster for the nation  The nation is silently watching Modi prove MMS right  We  "
"1084","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1085","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1086","Indians should we not be concerned that heads of CBI  CEC  CIC  SC  RBI are all at either loggerheads with GOI or m  "
"1087","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1088","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1089","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1090"," Modi takes a break from his Pradhan Mantri self promotion yojana giri only when elections come near  "
"1091","Urjit Patel has resigned  there is a vacancy now   Modi Ji how about appointing Rakesh Asthana IPS as bew  RBI gove  "
"1092","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1093","   Congress worked for their family     But  ji is working for Indian pupils   Modi   ModiFor2019"
"1094","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1095","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1096","And for some reason it couldn t be rants of a disgruntled employee carefully designed to position himself in  bihar  "
"1097"," as if  funds belong to governor n whatever taxes r collected by duties on  petrol  Modi ji runs his kitchen from those money  "
"1098"," Indian state elections could halt Prime Minister  Modi s winning streak "
"1099","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1100"," ahmednagar  municipalelections  2018 shame on people who voted for  chindam who has won on money power if cheap pe  "
"1101","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1102","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1103","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1104","     UrjitPatel  Vibhishan of the present  Modi Govt"
"1105","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1106","  UrjitPatel  Vibhishan of the present  Modi Govt"
"1107","  UrjitPatel  Vibhishan of the present  Modi Govt"
"1108","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1109","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1110","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1111","   History is not flipping  The Prime Minister is unaware that history is created  Congress is  History   Modi  s Low Profile "
"1112","Meanwhile  after   s extradition to India  Can you Here this video with image                                                    "
"1113","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1114","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1115","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1116","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"1117","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1118","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1119","    Will miss you too Modi Ji  few more months   modi  BJP              "
"1120"," Demonetisation went outta  Modi s hands   UP is certainly going out too  Certainly  "
"1121","Here s the answer for Last week s question  Hope you get it right  forextrading  supportresistance  forexstrategy  "
"1122","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1123","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1124","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1125","These songs are sending me to entertain you in free time  they must be heard  mind will be happy  Modi ji                                                        "
"1126","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"1127","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1128","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1129","     It s proud moment for Bhaktas                              Since 40 years no one unable to do  But  it s done by  "
"1130","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1131","Following growing tensions between  India PM Narendra  Modi s government over the independence of the central bank   "
"1132","   This  December2018  Delhi crowd sounds ominously similar to the  December1992 vandals at  Ayodhya  If anybody cares for "
"1133","   After  CBI  amp   RBI heads now time for  MODI to leave    2019"
"1134","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1135","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1136","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1137","Japan s Bullet Train project team  learn shocking facts of the  Modi Govt ground realities first hand  over land ac  "
"1138","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1139"," IndiaGetsMallya    Modi gets  VijayMallya  amp   ChristianMichel  Credit     UrjitPatel  India  "
"1140","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"1141","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1142"," Black mushrooms  Rs 30000 kg    the same that  Modi eats to stay fit"
"1143","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1144","Arund Shourie  Yashwant Sinha and Olly Moily are blaming  for  UrjitPatelresigns   Thats a good enough  "
"1145"," justasking Is  Modi so naive that he wouldn t have factored in pros and cons of  RBIGovernor resigning "
"1146","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1147","   With most of  Modi s lofty economic goals still unmet   India s young workforce is turning away from the  BJP  Instead of "
"1148","    the  BJP has largely failed in its supposed goals to transform  India for the better  relying instead on buzzwords  fudgi "
"1149","   The Indian media outlets grilled the government of  Modi for not reciprocating to peace offers made by the  Pakistan s "
"1150","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1151"," UrjitPatel resigns on similar lines of  ArvindPanagariya  amp   ArvindSubramanian that s RBI governer  VC NITI Ayog  amp   "
"1152"," Karnataka 220MW  nuclear reactor sets global record  Longest run of 941 days  major feat   says   "
"1153","   When  FakeDegree Leaders dictate  amp  irritate                         Educated Elites like  RBIGovernor  Rajan or  Patel give up  Where re  AndhBh "
"1154","   One thing is sure  if not now when Modi is OUT  World will know  real  "
"1155","    India is now trading with Japan  Russia  Iran  UAE in Indian  rupee  India is also negotiating with China  Iraq  SK  "
"1156","     Modi will not save you   Cong tells  ED  A  rattled  Congress on Saturday held out a  warning for  E "
"1157","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1158","   Wah Bhakt  Where did your leader study and why  refuses to  "
"1159","Court s Verdicts are Govt Win  For  RamTemple  needs to bring a Law   was a  "
"1160","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1161","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1162","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1163","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1164","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1165","   Every Congress party supporter  every one who cares for a civilised political discourse  please tell everyone you know about "
"1166","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1167","    IndiaGetsMallya  ChristianMichel  INC  Raga Beware  It is  at Delhi  Offenders promoted during  UPA regime "
"1168","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1169"," Naredndra  Modi asks  MPs to utilize  winter session  well  "
"1170"," RBIGovernorQuits   UrjitPatel resigns as RBI Governor  is  Modi govt guilty of meddling with institutions   "
"1171","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1172","   Modi will take us till Rs 150 200 for one usa dollar  while playing games with RBI  economy "
"1173","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1174","   I follow everyone who follows me   4 NEW RULES              If u r Anti  Modi ji  Not Followed              Liberals asking donation  Blocked "
"1175","    India is now trading with Japan  Russia  Iran  UAE in Indian  rupee  India is also negotiating with China  Iraq  SK  "
"1176","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"1177","     Ye to to kal ke election results men hi pata chal jaayega  Public totally bore ho rahi ha "
"1178","   There is no better leader than  both on  amp  off the field   Ab tou  India bhi maan gaya   Seekh lein kuch  Mod "
"1179","   There is no better leader than  both on  amp  off the field   Ab tou  India bhi maan gaya   Seekh lein kuch  Mod "
"1180","  It s proud moment for Bhaktas                              Since 40 years no one unable to do  But  it s done b  "
"1181","That vidhwa comment from none other than the  PM  Modi is simply disgraceful and unnecessary "
"1182","   Huge victory for  Modi Government   Looter  losses case in  London India winning continously in extradition  First   C "
"1183","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1184","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1185","   While the  Congress is gaining confidence   Modi and Shah would not have gone to the battle of the states without a strategy "
"1186","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1187","     What is the loot  Has  Modi shown the resolve 2book the  culprits   Anybody can talk in the air "
"1188","   Dictator  Feku  Modi DESTROYED the economy by  Demonetisation  amp  constant interference into  RBI   May God Save  India from "
"1189","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1190","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1191","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1192","   Attacking the  Modi govt for destroying several institutions of the democracy  ignoring farmers and youth unrest and reducing "
"1193","   This  December2018  Delhi crowd sounds ominously similar to the  December1992 vandals at  Ayodhya  If anybody cares for "
"1194","  Modi will solve your and nations problems  Hopefully viruses will finish off the street urchin bacteri  "
"1195","   PM  Modi loves to refer to himself as a Chaiwala   But he has ignored the Tea Growers of Assam since 2014  going back on h "
"1196","   it s indicative price   I don t know about Kauwa  amp   x y z    if you know the hell  "
"1197","Today the whole bunch of ppl who used to accuse  UrjitPatel of  being a  Modi  s man are showing deep pain on his r  "
"1198","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1199","    Jumla Man  Modi is destroying  RBI and will destroy  India     ModiDestroysRBI"
"1200","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1201","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1202","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1203","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1204","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1205","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1206","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1207","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1208","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1209","   Jumla Man  Modi  not in the list"
"1210","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1211","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1212","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1213","   A true  Indian  amp  true Hindu can never refuse a person who requested shelt  "
"1214","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1215","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1216","            "
"1217","    Jumla Man  Modi is destroying  RBI and will destroy  India     ModiDestroysRBI"
"1218"," Jumla Man  Modi is destroying  RBI and will destroy  India     ModiDestroysRBI"
"1219","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1220","   Dear Rajasthan   Tomorrow  11 Dec we r going 2 face result of assembly elections  Though  ExitPolls say Congress will "
"1221","   Every Congress party supporter  every one who cares for a civilised political discourse  please tell everyone you know about "
"1222","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"1223","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1224","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1225","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1226","   The  Modi government is proving itself each day to be one that cannot attract  or keep  much less inspire  talent   UrjitP "
"1227","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1228","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1229","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1230"," MondayThoughts On an embarrassing day when the  sensex tumbled  Union minister  UpendraKushwaha resigned  amp   "
"1231","    RBI Governor  UrjitPatelresigns   Another first in the  history under  Modi Govt in  Maff kar  bhai mere ko "
"1232"," Indian  Farmer sold his 700 KG  Onions for 1000  INR and sent entire money to Prime Minister  Modi   Worst conditi  "
"1233","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1234","   While the  Congress is gaining confidence   Modi and Shah would not have gone to the battle of the states without a strategy "
"1235","In contrast to  Modi  s  Gujrat model  which focus on  PPP in education  which increases cost of education exorbita  "
"1236","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1237","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1238","This is new  India grown up under fake and  Hatred  modi "
"1239","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1240","   The new  CEA  KrishnamurthySubramanian might be the reason for  UrjitPatel to resign as  RBI  RBIGovernor   Thanks to  m "
"1241","   After  CBI  amp   RBI heads now time for  MODI to leave    2019"
"1242","    RBI Governor  UrjitPatelresigns   Another first in the  history under  Modi Govt in  Maff kar  bhai mere ko "
"1243","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1244","   PM  Modi had announced that he would provide Electricity for All   Now that the deadline is near  amp  no work has been done  "
"1245","   Another exemplary feat by  Modi  government  After the 182 metre  StatueofUnity  the  NortheastFrontierRailway  NFR  has now "
"1246","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1247","   Every Congress party supporter  every one who cares for a civilised political discourse  please tell everyone you know about "
"1248","    RBI Governor  UrjitPatelresigns   Another first in the  history under  Modi Govt in  Maff kar  bhai mere ko "
"1249","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1250","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1251","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1252","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1253","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1254","  What is the loot  Has  Modi shown the resolve 2book the  culprits   Anybody can talk in the  "
"1255","   Another exemplary feat by  Modi  government  After the 182 metre  StatueofUnity  the  NortheastFrontierRailway  NFR  has now "
"1256"," RaghuramRajan refused 2nd term   ArvindPanagariya   ArvindSubramanian  amp  now   UrjitPatel resigns  All sign of inte  "
"1257","Then   Modi has personally timed   ChristianMichel extradition with Assembly Election   Now   Modi has personally t  "
"1258","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1259","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1260","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1261","So now it s ain t a big deal for  Opposition that  MallyaExtradition is a reality    Guys u all challenged  Modi to  "
"1262","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1263","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1264","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1265","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1266","   Our future is in dark  save Goa from economic crisis  restartGoamining  PMOIndia  Modi  AmitShah  GoaMining  BJP"
"1267","   Another exemplary feat by  Modi  government  After the 182 metre  StatueofUnity  the  NortheastFrontierRailway  NFR  has now "
"1268"," Rumour is that it was  who helped  run out of India   if it s true then it s no  "
"1269","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1270","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1271","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1272","    India election 2014  Here is the  BJP s Priti  Gandhi pushing fake  Assange  Modi endorsement to 40k people "
"1273","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1274","Have  MadhyaPradesh voters given a decisive verdict or is it going to be a hung assembly  Is this the return of  "
"1275","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1276","I hope the  Modi fever of 2013 is over and hopefully now Indians have seen his work and the mistake isn t repeated again in 2019 "
"1277","         "
"1278","    UrjitPatel and  Congress When appointed  he was not qualified to be  RBIGovernor  Last week  they wanted him to resign  To "
"1279","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1280","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1281","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1282","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1283","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1284","  Modi presented New  Dimensions in  Politics and whatever  dicision his going take will benefit  "
"1285","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"1286","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1287","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1288","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"1289","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1290","   This clearly shows  Modi  amp   BJP are anti  women  amp  insults them with derogatory comments   "
"1291","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"1292","    India is now trading with Japan  Russia  Iran  UAE in Indian  rupee  India is also negotiating with China  Iraq  SK  "
"1293","   When  FakeDegree Leaders dictate  amp  irritate                         Educated Elites like  RBIGovernor  Rajan or  Patel give up  Where re  AndhBh "
"1294","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1295","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1296","    VijayMallya  s extradition is a very significant development in India s fight against corruption  Credit for this goes en "
"1297","       Some where astrological theory  Michael   Mallya   modi  nirav   mehul final "
"1298","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"1299","     Ye to to kal ke election results men hi pata chal jaayega  Public totally bore ho rahi ha "
"1300","   Huge victory for  Modi Government   Looter  losses case in  London India winning continously in extradition  First   C "
"1301","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"1302","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1303","   Gov   Patel resigns as head of the Reserve Bank of  India  P M   Modi wants to  do what President  Kirchner did in  Argent "
"1304","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"1305","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1306","   Most of the tops resigned by  Personal reason   It s not  Modi fault  It s Personal fault    Please   Believe         friend "
"1307","   Most of the tops resigned by  Personal reason   It s not  Modi fault  It s Personal fault    Please   Believe         friend "
"1308","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"1309","  Yes  Well said  We are also with  Modi ji We have read tales of some benelovent kings  "
"1310","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"1311"," Now I m confirmed    building  YogiAdityanath as  BJP  s no 3 is not a big  Modi blunder    Thanks shekhu chacha             "
"1312","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"1313","    I am anti BJP and i feel the same  There is sudden panic in the other camp wheras  Modi "
"1314","   Huge victory for  Modi Government   Looter  losses case in  London India winning continously in extradition  First   C "
"1315","In case  Modi has to bring Adhia as  RBI governor  imagine the sheer lack of talent that he has or thinks he has  a  "
